Microsoft Azure Estimate,,,,,,,,,,,,,,,,,,,,,,,,,
Your Estimate,,,,,,,,,,,,,,,,,,,,,,,,,
Service category,Service type,Custom name,Region,Description,Estimated monthly cost,Estimated upfront cost,,,,,,,,,,,,,,,,,,,
Compute,Virtual Machines,,East US,"75 E16-4ads v5 (4 vCPUs, 128 GB RAM) x 730 Hours (Pay as you go), Windows (License included), OS Only; 0 managed disks – S4; Inter Region transfer type, 5 GB outbound data transfer from East US to East Asia","$97,674.00",$0.00,,,,,,,,,,,,,,,,,,,
Compute,Virtual Machines,,Canada Central,"75 DS13-4 v2 (4 vCPUs, 56 GB RAM) x 730 Hours (Pay as you go), Linux,  (Pay as you go); 0 managed disks – S4; Inter Region transfer type, 5 GB outbound data transfer from Canada Central to East Asia","$40,077.00",$0.00,,,,,,,,,,,,,,,,,,,
Management and governance,Azure Site Recovery,,Canada Central,"3 Customer instances, 3 Azure instances",$123.00,$0.00,,,,,,,,,,,,,,,,,,,
Databases,Azure SQL Database,,Canada Central,"Single Database, vCore, Business Critical, Provisioned, Standard-series (Gen 5), Primary or Geo replica Disaster Recovery, 10 - 4 vCore Database(s) x 730 Hours, 2 GB Storage, SQL License (Pay as you go), RA-GRS Backup Storage Redundancy, 0 GB Point-In-Time Restore,  0 x 5 GB Long Term Retention","$21,624.55",$0.00,,,,,,,,,,,,,,,,,,,
Compute,Azure Kubernetes Service (AKS),,Canada Central,"Premium; Cluster management for 5 clusters; 1 D2 v3 (2 vCPUs, 8 GB RAM) x 730 Hours (Pay as you go), Linux; 0 managed OS disks – S4","$2,271.03",$0.00,,,,,,,,,,,,,,,,,,,
Compute,App Service,,Canada Central,"Premium V2 Tier; 3 P1V2 (1 Core(s), 3.5 GB RAM, 250 GB Storage) x 730 Hours; Windows OS; 0 SNI SSL Connections; 0 IP SSL Connections; 0 Custom Domains; 0 Standard SLL Certificates; 0 Wildcard SSL Certificates",$481.80,$0.00,,,,,,,,,,,,,,,,,,,
Internet of Things,Logic Apps,,Canada Central,"Workloads: Consumption plan, 5,000 Action Executions per day x 1 day, 0 GB Data Retention, 0 Standard Connector Executions per day x 1 day, 0 Enterprise Connector Executions per day x 1 day; Integration Service Environment: Premium tier, 0 Base Units x 730 Hours, 0 Scale Units x 730 Hours; Integration Accounts: 0 Standard Integration Accounts x 730 Hours, 0 Basic Integration Accounts x 730 Hours.",$0.03,$0.00,,,,,,,,,,,,,,,,,,,
Compute,Azure Functions,,Canada Central,"Consumption tier, Pay as you go, 128 MB memory, 1,000,000 milliseconds execution time, 1 executions/mo",$0.00,$0.00,,,,,,,,,,,,,,,,,,,
Networking,Azure Front Door,,,"Azure Front Door (Classic) - Outbound Data Transfer [North America, Europe, Middle East and Africa - 5GB], 5 GB Inbound Data Transfer, 1 Routing rules x 730 Hours, 0 Additional rules x 730 Hours, 0 Additional Custom Domains, 1 Policies, 1 Custom Rules, 0 x 1 million Custom requests processed, 0 Default rulesets, 0 Managed rulseset requests processed",$28.65,$0.00,,,,,,,,,,,,,,,,,,,
Networking,Application Gateway,,Canada Central,"Web Application Firewall tier, Large Instance size: 1 Gateway hours instance(s) x 730 Hours, 0 GB Data processed unit(s), 5 GB Zone unit(s)",$359.74,$0.00,,,,,,,,,,,,,,,,,,,
